Date,Close,Revenue,GDP
2017/9/29,74.489998,23.3,19696.79465
2017/10/2,74.610001,24.5,19743.32153
2017/10/3,74.260002,24.5,19743.32153
2017/10/4,74.690002,24.5,19743.32153
2017/10/5,75.970001,24.5,19743.32153
2017/10/6,76,24.5,19743.32153
2017/10/9,76.290001,24.5,19743.32153
2017/10/10,76.290001,24.5,19743.32153
2017/10/11,76.419998,24.5,19743.32153
2017/10/12,77.120003,24.5,19743.32153
2017/10/13,77.489998,24.5,19743.32153
2017/10/16,77.650002,24.5,19743.32153
2017/10/17,77.589996,24.5,19743.32153
2017/10/18,77.610001,24.5,19743.32153
2017/10/19,77.910004,24.5,19743.32153
2017/10/20,78.809998,24.5,19743.32153
2017/10/23,78.830002,24.5,19743.32153
2017/10/24,78.860001,24.5,19743.32153
2017/10/25,78.629997,24.5,19743.32153
2017/10/26,78.760002,24.5,19743.32153
2017/10/27,83.809998,24.5,19743.32153
2017/10/30,83.889999,24.5,19743.32153
2017/10/31,83.18,24.5,19743.32153
2017/11/1,83.18,24.5,19914.89405
2017/11/2,84.050003,24.5,19914.89405
2017/11/3,84.139999,24.5,19914.89405
2017/11/6,84.470001,24.5,19914.89405
2017/11/7,84.269997,24.5,19914.89405
2017/11/8,84.559998,24.5,19914.89405
2017/11/9,84.089996,24.5,19914.89405
2017/11/10,83.870003,24.5,19914.89405
2017/11/13,83.93,24.5,19914.89405
2017/11/14,84.050003,24.5,19914.89405
2017/11/15,82.980003,24.5,19914.89405
2017/11/16,83.199997,24.5,19914.89405
2017/11/17,82.400002,24.5,19914.89405
2017/11/20,82.529999,24.5,19914.89405
2017/11/21,83.720001,24.5,19914.89405
2017/11/22,83.110001,24.5,19914.89405
2017/11/24,83.260002,24.5,19914.89405
2017/11/27,83.870003,24.5,19914.89405
2017/11/28,84.879997,24.5,19914.89405
2017/11/29,83.339996,24.5,19914.89405
2017/11/30,84.169998,24.5,19914.89405
2017/12/1,84.260002,24.5,19990.67942
2017/12/4,81.080002,24.5,19990.67942
2017/12/5,81.589996,24.5,19990.67942
2017/12/6,82.779999,24.5,19990.67942
2017/12/7,82.489998,24.5,19990.67942
2017/12/8,84.160004,24.5,19990.67942
2017/12/11,85.230003,24.5,19990.67942
2017/12/12,85.580002,24.5,19990.67942
2017/12/13,85.349998,24.5,19990.67942
2017/12/14,84.690002,24.5,19990.67942
2017/12/15,86.849998,24.5,19990.67942
2017/12/18,86.379997,24.5,19990.67942
2017/12/19,85.830002,24.5,19990.67942
2017/12/20,85.519997,24.5,19990.67942
2017/12/21,85.5,24.5,19990.67942
2017/12/22,85.510002,24.5,19990.67942
2017/12/26,85.400002,24.5,19990.67942
2017/12/27,85.709999,24.5,19990.67942
2017/12/28,85.720001,24.5,19990.67942
2017/12/29,85.540001,24.5,19990.67942
2018/1/2,85.949997,28.9,20054.2326
2018/1/3,86.349998,28.9,20054.2326
2018/1/4,87.110001,28.9,20054.2326
2018/1/5,88.190002,28.9,20054.2326
2018/1/8,88.279999,28.9,20054.2326
2018/1/9,88.220001,28.9,20054.2326
2018/1/10,87.82,28.9,20054.2326
2018/1/11,88.080002,28.9,20054.2326
2018/1/12,89.599998,28.9,20054.2326
2018/1/16,88.349998,28.9,20054.2326
2018/1/17,90.139999,28.9,20054.2326
2018/1/18,90.099998,28.9,20054.2326
2018/1/19,90,28.9,20054.2326
2018/1/22,91.610001,28.9,20054.2326
2018/1/23,91.900002,28.9,20054.2326
2018/1/24,91.82,28.9,20054.2326
2018/1/25,92.330002,28.9,20054.2326
2018/1/26,94.059998,28.9,20054.2326
2018/1/29,93.919998,28.9,20054.2326
2018/1/30,92.739998,28.9,20054.2326
2018/1/31,95.010002,28.9,20054.2326
2018/2/1,94.260002,28.9,20196.98466
2018/2/2,91.779999,28.9,20196.98466
2018/2/5,88,28.9,20196.98466
2018/2/6,91.330002,28.9,20196.98466
2018/2/7,89.610001,28.9,20196.98466
2018/2/8,85.010002,28.9,20196.98466
2018/2/9,88.18,28.9,20196.98466
2018/2/12,89.129997,28.9,20196.98466
2018/2/13,89.830002,28.9,20196.98466
2018/2/14,90.809998,28.9,20196.98466
2018/2/15,92.660004,28.9,20196.98466
2018/2/16,92,28.9,20196.98466
2018/2/20,92.720001,28.9,20196.98466
2018/2/21,91.489998,28.9,20196.98466
2018/2/22,91.730003,28.9,20196.98466
2018/2/23,94.059998,28.9,20196.98466
2018/2/26,95.419998,28.9,20196.98466
2018/2/27,94.199997,28.9,20196.98466
2018/2/28,93.769997,28.9,20196.98466
2018/3/1,92.849998,28.9,20179.93074
2018/3/2,93.050003,28.9,20179.93074
2018/3/5,93.639999,28.9,20179.93074
2018/3/6,93.32,28.9,20179.93074
2018/3/7,93.860001,28.9,20179.93074
2018/3/8,94.43,28.9,20179.93074
2018/3/9,96.540001,28.9,20179.93074
2018/3/12,96.769997,28.9,20179.93074
2018/3/13,94.410004,28.9,20179.93074
2018/3/14,93.849998,28.9,20179.93074
2018/3/15,94.18,28.9,20179.93074
2018/3/16,94.599998,28.9,20179.93074
2018/3/19,92.889999,28.9,20179.93074
2018/3/20,93.129997,28.9,20179.93074
2018/3/21,92.480003,28.9,20179.93074
2018/3/22,89.790001,28.9,20179.93074
2018/3/23,87.18,28.9,20179.93074
2018/3/26,93.779999,28.9,20179.93074
2018/3/27,89.470001,28.9,20179.93074
2018/3/28,89.389999,28.9,20179.93074
2018/3/29,91.269997,28.9,20179.93074
2018/4/2,88.519997,26.8,20390.6486
2018/4/3,89.709999,26.8,20390.6486
2018/4/4,92.330002,26.8,20390.6486
2018/4/5,92.379997,26.8,20390.6486
2018/4/6,90.230003,26.8,20390.6486
2018/4/9,90.769997,26.8,20390.6486
2018/4/10,92.879997,26.8,20390.6486
2018/4/11,91.860001,26.8,20390.6486
2018/4/12,93.580002,26.8,20390.6486
2018/4/13,93.080002,26.8,20390.6486
2018/4/16,94.169998,26.8,20390.6486
2018/4/17,96.07,26.8,20390.6486
2018/4/18,96.440002,26.8,20390.6486
2018/4/19,96.110001,26.8,20390.6486
2018/4/20,95,26.8,20390.6486
2018/4/23,95.349998,26.8,20390.6486
2018/4/24,93.120003,26.8,20390.6486
2018/4/25,92.309998,26.8,20390.6486
2018/4/26,94.260002,26.8,20390.6486
2018/4/27,95.82,26.8,20390.6486
2018/4/30,93.519997,26.8,20390.6486
2018/5/1,95,26.8,20509.23453
2018/5/2,93.510002,26.8,20509.23453
2018/5/3,94.07,26.8,20509.23453
2018/5/4,95.160004,26.8,20509.23453
2018/5/7,96.220001,26.8,20509.23453
2018/5/8,95.809998,26.8,20509.23453
2018/5/9,96.940002,26.8,20509.23453
